pdb_id
A0A0B4K6G5
A0A0B4KH28
A0A0B4KH77
A0A0B4KH86
A0A0B4KHX7
A0A0B4LFY9
A0A0B4LH78
A0A0B4LHR4
A0A0B4LHY5
A0AQH0
A0AV96
A0PJW6
A0PJX0
A0PJZ3
A1L020
A1XBS5
A1Z1Q3
A1Z6M6
A1Z6Z8
A1Z7K9
A1Z898
A1Z8P9
A1Z8R8
A1Z8W8
A1Z991
A1Z9J6
A1Z9P3
A1ZA01
A1ZAK8
A1ZAN6
A1ZB72
A1ZBA5
A1ZBR1
A5D8V6
A6NFA1
A6NFQ7
A6NFX1
A6NHX0
A6NI28
A6NJG6
A6NJT0
A6NK06
A6NK58
A6NND4
A7KAX9
A8DYE0
A8DYL3
A8DYM0
A8DZ19
A8K830
A8MTQ0
A8MW92
B2RTY4
B2RUZ4
B6IDT8
B7YZP6
B7YZU6
B7Z001
B7Z058
B7Z0E2
B7Z0L8
B7Z0S9
B7Z150
B9ZW35
C0HKF8
D6VTK4
D6W4T8
E1JH26
E1JJE6
E1JJR2
E1JJS1
M9MS20
M9NE35
M9NE97
M9PBE2
M9PCU5
M9PDE6
M9PEP2
M9PGC5
M9PHA0
M9PHI7
M9PHT1
M9PHY7
M9PI57
M9PIH9
O00144
O00155
O00167
O00168
O00175
O00180
O00203
O00213
O00264
O00268
O00295
O00299
O00305
O00329
O00400
O00422
O00463
O00468
O00469
O00488
O00515
O00522
O00560
O00567
O00585
O00590
O00754
O00762
O00763
O01346
O13329
O13516
O14493
O14503
O14508
O14514
O14523
O14526
O14531
O14543
O14657
O14717
O14727
O14737
O14757
O14786
O14788
O14791
O14793
O14813
O14815
O14827
O14829
O14904
O14931
O14960
O14967
O14979
O14994
O15013
O15041
O15056
O15118
O15121
O15130
O15169
O15178
O15197
O15218
O15228
O15234
O15235
O15244
O15263
O15270
O15287
O15303
O15315
O15347
O15354
O15371
O15374
O15375
O15381
O15400
O15431
O15498
O15503
O15516
O15522
O15533
O15535
O15553
O15554
O18334
